User Query,Answer,Cypher Generation,Correct,Notes
What vaccines are used to protect against Rabies?,"Processed query: The vaccines used to protect against Rabies are RABAVERT, ChAd155-RG, CV7201 mRNA, and RABIVAX-S.",1,1,
Which pathogens are associated with Humans in the vaccine database?,"Processed query: The pathogens associated with humans in the vaccine database are: Coccidioides spp., Brucella spp., Treponema pallidum, Yersinia pestis. Piscirickettsia salmonis is not typically associated with humans, so the data may not be relevant to the user query.",1,1,
What vaccines are available for Cattle against Brucellosis?,Processed query: The vaccines available for cattle against Brucellosis are: 1. Brucella abortus S19 vjbR mutant vaccine 2. B. abortus DNA vaccine pVF278 3. B. abortus DNA vaccine pcDNA3-SOD encoding Cu-Zn SOD 4. B. melitensis DNA vaccine pCIBLSOmp31 encoding BLSOmp31 (fusion protein) 5. B. abortus DNA vaccine pcDNA3.1-p39-L7/L12 encoding p39-L7/L12 fusion protein,1,1,
Which vaccines are used for Horses against West Nile Virus?,"Processed query: The vaccines used for Horses against West Nile Virus are: 1. Encephalomyelitis-West Nile Virus Eastern & Western & Venezuelan, Killed Virus Vaccine-Tetanus Toxoid 2. Encephalomyelitis-West Nile Virus Eastern & Western, Killed Virus, Live Canarypox Vector Vaccine-Tetanus Toxoid",1,1,
What pathogens affect Chickens in the vaccine ontology?,"Processed query: The retrieved data is empty, indicating that there is no specific information available in the vaccine graph database regarding which pathogens affect chickens in the vaccine ontology. The database may not have detailed information on this specific topic.",0,0,Ontology isn't yet integrated into VaxChat
Which pathogens are commonly associated with Humans in the VIOLIN database?,Processed query: The data retrieved from the VIOLIN database did not provide information on the pathogens commonly associated with humans. It is best to consult the database directly or a more comprehensive source for this specific question.,0,0,"VaxChat doesn't ""know"" that it contains VIOLIN"
What pathogens are associated with Dogs in the vaccine ontology?,"Processed query: The pathogens associated with dogs in the vaccine ontology are Leishmania donovani, Babesia canis, Giardia duodenalis, Canine coronavirus, and Rabies virus.",1,1,
Which pathogens are linked to Cattle in the database?,Processed query: The pathogens linked to cattle in the database are: 1. Bovine Respiratory Syncytial Virus 2. Bluetongue virus 3. Campylobacter fetus 4. Rotavirus 5. Escherichia coli,1,1,
What pathogens are related to Pigs in the vaccine ontology?,"Processed query: The pathogens related to pigs in the vaccine ontology are Leptospira spp., Porcine parvovirus, Erysipelothrix rhusiopathiae, and African Swine Fever Virus.",1,1,
Which pathogens affect Sheep in the vaccine database?,"Processed query: I'm sorry, but based on the retrieved data, there is no specific information available regarding pathogens that affect sheep in the vaccine database.",0,0,Incorrect Cypher
What vaccines are available for Humans against HIV?,"Processed query: I'm sorry, but based on the retrieved data, it appears that there are no vaccines available for humans against HIV at the current moment.",0,0,Incorrect Cypher
Which pathogens are covered by vaccines in the VIOLIN database for Cattle?,"Processed query: The pathogens covered by vaccines in the VIOLIN database for Cattle are Coccidioides spp., Brucella spp., Treponema pallidum, Yersinia pestis, and Piscirickettsia salmonis.",1,1,
What pathogens are targeted by the BCG vaccine?,"Processed query: I'm sorry, but it seems that the retrieved data did not provide information on the specific pathogens targeted by the BCG vaccine. It is recommended to consult a medical professional or reliable source for accurate information on this topic.",0,0,Incorrect Cypher
Which vaccines are available for Humans against Malaria?,"Processed query: The retrieved data is empty, indicating that there is no information available on vaccines for Humans against Malaria in the database. It is possible that the database does not have this specific information.",0,0,Incorrect Cypher
What vaccines are available for Horses against Equine Encephalitis?,"Processed query: I'm sorry, but the retrieved data does not provide specific information on the vaccines available for Horses against Equine Encephalitis.",0,0,Incorrect Cypher
Which vaccines target SARS-CoV-2?,"Processed query: The vaccines that target SARS-CoV-2 from the retrieved data are VXA-CoV2-1, SARS-CoV-2 Vaccine YF-S0, SYS6006, and GRT-R912.",1,1,
What vaccines in the database target Hepatitis B?,Processed query: The vaccines in the database that target Hepatitis B are: - HBVAXPRO - Hepatitis B DNA vaccine pCEA/HBsAg encoding CEA and HBsAg - Duck hepatitis B DNA vaccine pcDNA I-S encoding small S proteins - Hepatitis B DNA vaccine pCMV-S2.S encoding the HBV(ayw Strain) envelope protein - Hepatitis B DNA vaccine pS encoding major envelope proteins,1,1,
